threads,device,batch_size,num_data_centers,num_client_data_centers,approach,dtype,elapsed_time,time_per_simulation
40,cuda,1,2,300,ApproachType.ORACLE,torch.float16,0.029378559112548826,0.00029378559112548826
40,cuda,1,10,300,ApproachType.ORACLE,torch.float16,0.02430975914001465,0.0002430975914001465
40,cuda,1,100,300,ApproachType.ORACLE,torch.float16,0.024833023071289064,0.00024833023071289063
40,cuda,1,300,300,ApproachType.ORACLE,torch.float16,0.04067020797729492,0.0004067020797729492
40,cuda,1,1000,300,ApproachType.ORACLE,torch.float16,0.23050956726074218,0.0023050956726074216
40,cpu,1,2,300,ApproachType.ORACLE,torch.float16,0.01959848403930664,0.0001959848403930664
40,cpu,1,10,300,ApproachType.ORACLE,torch.float16,0.019954919815063477,0.00019954919815063477
40,cpu,1,100,300,ApproachType.ORACLE,torch.float16,0.5659475326538086,0.005659475326538086
40,cpu,1,300,300,ApproachType.ORACLE,torch.float16,4.213595628738403,0.042135956287384035
40,cpu,1,1000,300,ApproachType.ORACLE,torch.float16,47.50726652145386,0.47507266521453856
